id,cell_count,cell_type,staining,objective,markers,set
2572,0,AHPC,Cy3,20x,GFAP,trainval
1639,1,AHPC,AF488,20x,GFAP + Ki67,trainval
1370,31,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2909,75,RPC,Cy3,40x,TuJ1,trainval
2105,37,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
113,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
529,9,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
717,0,AHPC,Cy3,20x,PI,trainval
2966,23,RPC,Cy3,40x,MAP2ab,trainval
875,50,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
746,0,AHPC,Cy3,20x,PI,trainval
1739,0,AHPC,Cy3,20x,PI,trainval
757,0,AHPC,Cy3,20x,PI,trainval
1475,0,AHPC,Cy3,20x,PI,trainval
2869,59,RPC,Cy3,40x,MAP2ab,trainval
2816,62,RPC,Cy3,40x,MAP2ab,trainval
2360,37,AHPC,Cy3,20x,PI,trainval
2522,93,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1905,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
559,35,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1691,0,AHPC,Cy3,20x,PI,trainval
2460,146,AHPC,Cy3,20x,Ki67 + RIP,trainval
1224,0,AHPC,Cy3,20x,PI,trainval
766,1,AHPC,Cy3,20x,PI,trainval
1791,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2007,2,AHPC,AF488,20x,GFAP + Ki67,trainval
2312,0,AHPC,Cy3,20x,GFAP,trainval
1659,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1964,29,AHPC,Cy3,20x,RIP,trainval
1158,0,AHPC,Cy3,20x,PI,trainval
29,0,AHPC,Cy3,20x,PI,trainval
1310,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2990,12,RPC,Cy3,40x,TuJ1,trainval
1209,0,AHPC,Cy3,20x,PI,trainval
214,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
467,9,AHPC,Cy3,20x,MAP2ab,trainval
352,3,AHPC,Cy3,20x,PI,trainval
441,2,AHPC,AF488,20x,GFAP + Ki67,trainval
2252,150,AHPC,Cy3,20x,Ki67 + RIP,trainval
1071,5,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1736,0,AHPC,Cy3,20x,PI,trainval
1549,7,AHPC,Cy3,20x,MAP2ab,trainval
1122,6,AHPC,Cy3,20x,MAP2ab,trainval
1742,0,AHPC,Cy3,20x,PI,trainval
2246,1,AHPC,Cy3,20x,MAP2ab,trainval
734,3,AHPC,Cy3,20x,PI,trainval
672,0,AHPC,Cy3,20x,PI,trainval
2401,138,AHPC,Cy3,20x,PI,trainval
371,0,AHPC,Cy3,20x,PI,trainval
2425,103,AHPC,AF488,20x,MAP2ab,trainval
1219,1,AHPC,Cy3,20x,PI,trainval
2776,27,RPC,Cy3,40x,GFAP,trainval
1566,9,AHPC,Cy3,20x,MAP2ab,trainval
1581,38,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2095,12,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
777,0,AHPC,Cy3,20x,PI,trainval
522,0,AHPC,AF488,20x,Ki67 + TuJ1,trainval
238,0,AHPC,Cy3,20x,PI,trainval
2713,37,RPC,Cy3,40x,GFAP,trainval
2575,0,AHPC,Cy3,20x,GFAP,trainval
2281,0,AHPC,Cy3,20x,GFAP,trainval
1501,12,AHPC,Cy3,20x,RIP,trainval
2994,16,RPC,Cy3,40x,TuJ1,trainval
1385,15,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2526,82,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1788,34,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2100,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2025,7,AHPC,AF488,20x,GFAP + Ki67,trainval
151,15,AHPC,Cy3,20x,MAP2ab,trainval
1322,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1063,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1234,2,AHPC,Cy3,20x,PI,trainval
975,0,AHPC,Cy3,20x,PI,trainval
2096,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
737,0,AHPC,Cy3,20x,PI,trainval
1707,0,AHPC,Cy3,20x,PI,trainval
640,0,AHPC,Cy3,20x,PI,trainval
2038,20,AHPC,Cy3,20x,MAP2ab,trainval
2495,150,AHPC,Cy3,20x,Ki67 + RIP,trainval
34,0,AHPC,Cy3,20x,PI,trainval
2805,67,RPC,Cy3,40x,TuJ1,trainval
1747,0,AHPC,Cy3,20x,PI,trainval
1637,8,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1779,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2847,80,RPC,Cy3,40x,TuJ1,trainval
1153,8,AHPC,Cy3,20x,MAP2ab,trainval
1182,0,AHPC,Cy3,20x,PI,trainval
1609,6,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1602,18,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1394,69,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1050,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
663,0,AHPC,Cy3,20x,PI,trainval
2047,15,AHPC,Cy3,20x,MAP2ab,trainval
2696,129,RPC,Cy3,40x,TuJ1,trainval
1841,41,AHPC,Cy3,20x,MAP2ab + RIP,trainval
1120,14,AHPC,Cy3,20x,MAP2ab,trainval
270,0,AHPC,Cy3,20x,PI,trainval
2311,0,AHPC,Cy3,20x,GFAP,trainval
206,13,AHPC,AF488,20x,Ki67 + TuJ1,trainval
523,10,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
372,0,AHPC,Cy3,20x,PI,trainval
1366,6,AHPC,Cy3,20x,MAP2ab,trainval
2097,9,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2283,0,AHPC,Cy3,20x,GFAP,trainval
2731,51,RPC,Cy3,40x,TuJ1,trainval
331,0,AHPC,Cy3,20x,PI,trainval
100,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1778,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
656,2,AHPC,Cy3,20x,PI,trainval
2796,2,RPC,Cy3,40x,TuJ1,trainval
587,0,AHPC,Cy3,20x,PI,trainval
2336,138,AHPC,Cy3,20x,PI,trainval
1725,0,AHPC,Cy3,20x,PI,trainval
291,0,AHPC,Cy3,20x,PI,trainval
709,0,AHPC,Cy3,20x,PI,trainval
1589,11,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
97,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1957,0,AHPC,Cy3,20x,PI,trainval
533,19,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1616,4,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
730,17,AHPC,Cy3,20x,PI,trainval
2503,127,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
956,1,AHPC,Cy3,20x,PI,trainval
279,2,AHPC,Cy3,20x,PI,trainval
324,0,AHPC,Cy3,20x,PI,trainval
2812,33,RPC,Cy3,40x,MAP2ab,trainval
19,1,AHPC,Cy3,20x,PI,trainval
1533,9,AHPC,Cy3,20x,RIP,trainval
46,6,AHPC,Cy3,20x,RIP,trainval
2500,6,AHPC,AF488,20x,Ki67 + RIP,trainval
509,3,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2714,84,RPC,Cy3,40x,GFAP,trainval
1599,6,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1333,2,AHPC,Cy3,20x,MAP2ab,trainval
1918,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
2874,33,RPC,Cy3,40x,MAP2ab,trainval
2158,0,AHPC,Cy3,20x,PI,trainval
248,0,AHPC,Cy3,20x,PI,trainval
2032,6,AHPC,Cy3,20x,MAP2ab,trainval
1102,0,AHPC,AF488,20x,Ki67 + TuJ1,trainval
789,2,AHPC,Cy3,20x,PI,trainval
2661,58,AHPC,Cy3,20x,PI,trainval
2697,136,RPC,Cy3,40x,TuJ1,trainval
2426,63,AHPC,AF488,20x,MAP2ab,trainval
2020,2,AHPC,AF488,20x,GFAP + Ki67,trainval
1951,0,AHPC,Cy3,20x,PI,trainval
1318,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
429,8,AHPC,Cy3,20x,RIP,trainval
2988,5,RPC,Cy3,40x,TuJ1,trainval
1588,7,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
788,0,AHPC,Cy3,20x,PI,trainval
2702,117,RPC,Cy3,40x,TuJ1,trainval
828,11,AHPC,AF488,20x,MAP2ab,trainval
2498,280,AHPC,Cy3,20x,Ki67 + RIP,trainval
1390,16,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
913,0,AHPC,Cy3,20x,GFAP + Ki67,trainval
1799,52,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2075,14,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
246,0,AHPC,Cy3,20x,PI,trainval
1815,0,AHPC,AF488,20x,MAP2ab,trainval
2912,59,RPC,Cy3,40x,TuJ1,trainval
105,5,AHPC,AF488,20x,GFAP + Ki67,trainval
1315,2,AHPC,AF488,20x,GFAP + Ki67,trainval
1924,0,AHPC,Cy3,20x,PI,trainval
404,28,AHPC,Cy3,20x,RIP,trainval
2701,62,RPC,Cy3,40x,TuJ1,trainval
749,2,AHPC,Cy3,20x,PI,trainval
847,4,AHPC,AF488,20x,MAP2ab,trainval
2653,27,AHPC,Cy3,20x,PI,trainval
951,0,AHPC,Cy3,20x,PI,trainval
1522,4,AHPC,Cy3,20x,RIP,trainval
2666,56,AHPC,Cy3,20x,PI,trainval
164,14,AHPC,Cy3,20x,MAP2ab,trainval
1375,2,AHPC,AF488,20x,Ki67 + TuJ1,trainval
2341,46,AHPC,Cy3,20x,PI,trainval
1953,0,AHPC,Cy3,20x,PI,trainval
1678,0,AHPC,AF488,20x,GFAP + Ki67,trainval
537,7,AHPC,AF488,20x,Ki67 + TuJ1,trainval
165,7,AHPC,Cy3,20x,MAP2ab,trainval
1572,10,AHPC,Cy3,20x,MAP2ab,trainval
2415,61,AHPC,Cy3,20x,PI,trainval
236,0,AHPC,Cy3,20x,PI,trainval
2379,74,AHPC,Cy3,20x,PI,trainval
1022,4,AHPC,AF488,20x,GFAP + Ki67,trainval
401,15,AHPC,Cy3,20x,RIP,trainval
2258,246,AHPC,Cy3,20x,Ki67 + RIP,trainval
1178,0,AHPC,Cy3,20x,PI,trainval
1365,2,AHPC,Cy3,20x,MAP2ab,trainval
1331,5,AHPC,Cy3,20x,MAP2ab,trainval
1765,5,AHPC,AF488,20x,GFAP + Ki67,trainval
328,0,AHPC,Cy3,20x,PI,trainval
21,0,AHPC,Cy3,20x,PI,trainval
309,0,AHPC,Cy3,20x,PI,trainval
2644,12,AHPC,Cy3,20x,PI,trainval
1884,1,AHPC,AF488,20x,Ki67 + TuJ1,trainval
1106,32,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
308,1,AHPC,Cy3,20x,PI,trainval
2268,134,AHPC,Cy3,20x,Ki67 + RIP,trainval
2206,0,AHPC,Cy3,20x,PI,trainval
312,10,AHPC,Cy3,20x,PI,trainval
816,4,AHPC,AF488,20x,MAP2ab,trainval
2952,27,RPC,Cy3,40x,MAP2ab,trainval
603,0,AHPC,Cy3,20x,PI,trainval
2191,0,AHPC,Cy3,20x,PI,trainval
1970,15,AHPC,Cy3,20x,RIP,trainval
1246,2,AHPC,Cy3,20x,RIP,trainval
1942,0,AHPC,Cy3,20x,PI,trainval
2505,95,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
1417,5,AHPC,Cy3,20x,PI,trainval
2248,5,AHPC,Cy3,20x,MAP2ab,trainval
2554,16,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
2504,132,AHPC,Cy3,20x,Ki67 + TuJ1,trainval
161,13,AHPC,Cy3,20x,MAP2ab,trainval
674,3,AHPC,Cy3,20x,PI,trainval
